,id,tags,lonlat,amenity_name
0,32520370,"{'name': 'BII Riau', 'amenity': 'bank', 'created_by': 'JOSM'}","(107.6128619, -6.906695200000012)",bank
1,32520390,"{'amenity': 'bank', 'name': 'BCA Surya Sumantri', 'name:it': 'BCA'}","(107.5812981, -6.891246700000011)",bank
2,32520391,"{'name': 'Permata Suria Sumantri', 'amenity': 'bank'}","(107.5810974, -6.887368600000011)",bank
3,32520392,"{'name': 'BNP Suria Sumantri', 'amenity': 'bank', 'created_by': 'JOSM'}","(107.5810733, -6.885337400000011)",bank
4,32520394,"{'amenity': 'bank', 'name': 'Mandiri Siliwangi', 'name:en': 'Mandiri'}","(107.61232199999999, -6.8851834000000105)",bank
5,32520395,"{'amenity': 'bank', 'name': 'Mega Dago', 'name:en': 'Mega'}","(107.61372209999999, -6.88914770000001)",bank
6,32520401,"{'amenity': 'bank', 'name': 'Danamon Dago', 'name:en': 'Danamon'}","(107.613041, -6.899226100000011)",bank
7,32527717,"{'atm': 'yes', 'name': 'CIMB Niaga', 'amenity': 'bank'}","(107.61781849999996, -6.922741800000012)",bank
8,32527734,"{'amenity': 'bank', 'created_by': 'JOSM', 'name': 'BCA Abdulrachman Saleh', 'name:en': 'BCA'}","(107.58186569999997, -6.908002900000012)",bank
9,330062753,"{'atm': 'no', 'name': 'Bank Muamalat, T. Tinggi', 'amenity': 'bank', 'created_by': 'Potlatch 0.10f'}","(99.15808880000013, 3.3272942000000074)",bank
10,330062832,"{'atm': 'no', 'name': 'Bank Syariah Mandiri, T. Tinggi', 'amenity': 'bank', 'created_by': 'Potlatch 0.10f'}","(99.15905870000012, 3.3292136000000077)",bank
11,330062847,"{'name': 'Panin Bank, T. Tinggi', 'amenity': 'bank', 'created_by': 'Potlatch 0.10f'}","(99.15883560000012, 3.328853700000008)",bank
12,330062851,"{'atm': 'yes', 'name': 'Bank Mestika, T. Tinggi', 'amenity': 'bank', 'created_by': 'Potlatch 0.10f'}","(99.16038050000012, 3.3312186000000077)",bank
13,330062878,"{'atm': 'no', 'name': 'Bank BRI - Ahmad Yani, T. Tinggi', 'amenity': 'bank', 'created_by': 'Potlatch 0.10f'}","(99.15838070000011, 3.328082500000008)",bank
14,330062899,"{'name': 'ATM Mandiri - Sudirman, T. Tinggi', 'amenity': 'atm', 'created_by': 'Potlatch 0.10f'}","(99.1601574000001, 3.3311415000000077)",atm
15,330062903,"{'atm': 'yes', 'name': 'Bank BCA', 'amenity': 'bank', 'created_by': 'Potlatch 0.10f'}","(99.1606209000001, 3.3321697000000077)",bank
16,330062906,"{'atm': 'yes', 'name': 'Bank BTN, T. Tinggi', 'amenity': 'bank', 'created_by': 'Potlatch 0.10f'}","(99.1609127000001, 3.332349700000008)",bank
