,id,tags,lonlat,amenity_name
0,29391281,"{'name': 'SPBU Suria Sumantri', 'amenity': 'fuel'}","(107.58136700000001, -6.882585300000009)",fuel
1,29392017,"{'name': 'SPBU Cipaganti', 'amenity': 'fuel'}","(107.6020333, -6.887683700000009)",fuel
2,29392645,"{'name': 'SPBU Abdul Rachman Saleh', 'amenity': 'fuel'}","(107.58530979999999, -6.907065700000008)",fuel
3,32042260,"{'name': 'SPBU Cibeunying', 'amenity': 'fuel'}","(107.6243636, -6.904627400000011)",fuel
4,32520379,"{'amenity': 'fuel', 'created_by': 'JOSM', 'name': 'SPBU Katamso', 'name:en': 'Spbu'}","(107.6333676, -6.902432000000012)",fuel
5,32520380,"{'addr:city': 'Bandung', 'addr:housenumber': '34', 'addr:postcode': '40114', 'addr:street': 'Jl. Pahlawan, Cikutra, Cibeunying Kidul', 'amenity': 'fuel', 'name': 'SPBU 34.40114', 'name:en': 'Spbu'}","(107.63412459999999, -6.899715400000011)",fuel
6,32529107,"{'amenity': 'fuel', 'name': 'SPBU Setiabudi', 'opening_hours': '24/7'}","(107.59870949999997, -6.880604300000012)",fuel
7,32529109,"{'name': 'SPBU Wastu Kencana', 'amenity': 'fuel'}","(107.60697479999997, -6.904379700000012)",fuel
8,32529111,"{'name': 'SPBU Suci', 'amenity': 'fuel'}","(107.64191629999998, -6.899277100000012)",fuel
9,32529115,"{'name': 'SPBU Sudirman', 'amenity': 'fuel', 'created_by': 'JOSM'}","(107.58189879999996, -6.919191200000013)",fuel
10,274750656,"{'is_in': 'West Bali,Bali,Indonesia', 'amenity': 'fuel'}","(114.60404240000001, -8.352587700000004)",fuel
11,274813078,"{'is_in': 'West Bali,Bali,Indonesia', 'amenity': 'fuel'}","(114.54097820000025, -8.324796500000009)",fuel
12,274853846,"{'is_in': 'North Bali,Bali,Indonesia', 'amenity': 'fuel'}","(115.03202890000016, -8.339801300000001)",fuel
13,298739945,"{'ele': '256.074951', 'name': 'PB1', 'shop': 'yes', 'brand': 'Pertamina', 'amenity': 'fuel', 'fuel:diesel': 'yes', 'opening_hours': '24/7', 'fuel:biodiesel': 'yes', 'fuel:octane_80': 'yes', 'fuel:octane_92': 'yes', 'fuel:octane_95': 'yes', 'wpt_description': 'PB1'}","(112.22914610000012, -8.076453299999983)",fuel
14,298740781,"{'amenity': 'fuel', 'ele': '150.09', 'name': 'PB3', 'wpt_description': 'PB3'}","(112.12117710000012, -8.083112299999982)",fuel
15,310348868,"{'addr:street': 'Jalan Raya Pasar Minggu', 'amenity': 'fuel', 'name': 'SPBU 34.127.07', 'operator': 'PT Pertamina', 'phone': '+62 21 799 0888'}","(106.84260080000003, -6.244958199999991)",fuel
16,321964917,"{'amenity': 'fuel', 'name': 'SPBU'}","(106.8965434999999, -6.371343999999997)",fuel
17,330063880,"{'name': 'SPBU', 'amenity': 'fuel', 'created_by': 'Potlatch 0.10f'}","(99.16130750000008, 3.322221600000009)",fuel
18,407492040,"{'amenity': 'fuel', 'name': 'SPBU', 'operator': 'PT Pertamina'}","(106.93363570000037, -6.132415499999989)",fuel
19,408183254,"{'name': 'SPBU', 'shop': 'yes', 'brand': 'Independent', 'amenity': 'fuel', 'operator': 'SWASTA', 'fuel:diesel': 'yes', 'opening_hours': '24/7', 'fuel:biodiesel': 'yes'}","(106.90689900000035, -6.129401999999992)",fuel
20,413451043,"{'name': 'SPBU GEGUTU', 'amenity': 'fuel'}","(116.12753130000017, -8.566204599999981)",fuel
21,413451055,"{'name': 'SPBU AMPENAN', 'amenity': 'fuel', 'wheelchair': 'yes'}","(116.08116310000017, -8.57709329999998)",fuel
22,413458219,"{'amenity': 'fuel', 'name': 'SPBU KEDIRI'}","(116.17302870000002, -8.637032600000001)",fuel
23,413460784,{'amenity': 'fuel'},"(116.23292699999988, -8.681096100000001)",fuel
24,415997728,"{'amenity': 'fuel', 'name:en': 'SPBU JEMBATAN KEMBAR'}","(116.10233029999971, -8.700426399999976)",fuel
25,416002504,"{'name': 'Tembowong', 'brand': 'Pertamina', 'amenity': 'fuel'}","(115.93846339999969, -8.76588099999998)",fuel
26,417285501,{'amenity': 'fuel'},"(116.64442829999976, -8.513888199999968)",fuel
27,420803368,"{'name': 'Pertamine', 'amenity': 'fuel'}","(112.72601999999964, -7.572427999999935)",fuel
28,420803369,"{'name': 'Pertamine', 'note': 'SPBU 54.671.15, Premium, Pelumas Pertamina', 'amenity': 'fuel', 'fuel:diesel': 'yes', 'opening_hours': '24/7'}","(112.76270159999963, -7.593738599999934)",fuel
29,429673446,"{'amenity': 'fuel', 'name': 'Pertamina'}","(112.68769290000012, -7.652661399999968)",fuel
30,429673764,"{'name': 'Pertamine', 'amenity': 'fuel'}","(112.74558960000012, -7.590252399999969)",fuel
31,429979882,"{'amenity': 'fuel', 'brand': 'Pertamina', 'brand:wikidata': 'Q1641044', 'brand:wikipedia': 'en:Pertamina', 'name': 'Pertamina', 'operator': 'PT Pertamina', 'payment:cash': 'yes'}","(112.75211860000003, -7.263444299999964)",fuel
32,445615315,{'amenity': 'fuel'},"(108.2626144000002, -7.626709700000015)",fuel
33,445615336,"{'amenity': 'fuel', 'name': 'SPBU Ciokong'}","(108.5883345000002, -7.675605800000016)",fuel
34,445615364,{'amenity': 'fuel'},"(108.47458200000021, -7.721778900000016)",fuel
35,445615366,"{'name': 'SPBU Parigi', 'amenity': 'fuel'}","(108.50176520000021, -7.696128900000017)",fuel
36,445615824,"{'name': 'SPBU Babakan', 'amenity': 'fuel'}","(108.6809261000003, -7.67392270000002)",fuel
37,445615828,"{'name': 'SPBU Putrapinggan', 'amenity': 'fuel'}","(108.7050489000003, -7.67138220000002)",fuel
38,445615855,{'amenity': 'fuel'},"(108.8190770000003, -7.486403500000019)",fuel
39,448090100,{'amenity': 'fuel'},"(109.29363099999999, -7.535233000000031)",fuel
40,448090101,{'amenity': 'fuel'},"(109.04287099999999, -7.647606000000031)",fuel
41,448090102,{'amenity': 'fuel'},"(109.0908015, -7.662757300000031)",fuel
42,448090104,{'amenity': 'fuel'},"(109.4711694, -7.451400400000031)",fuel
43,448090108,{'amenity': 'fuel'},"(109.25001619999999, -7.620622300000031)",fuel
44,448090109,"{'name': 'SPBU Blambangan', 'amenity': 'fuel', 'operator': 'Pertamina'}","(109.63930549999999, -7.396335400000031)",fuel
45,448090110,{'amenity': 'fuel'},"(109.73086699999999, -7.270640000000031)",fuel
46,448090112,{'amenity': 'fuel'},"(109.1173377, -7.653150800000032)",fuel
47,448090113,{'amenity': 'fuel'},"(109.36045499999999, -7.508653000000032)",fuel
48,448090118,{'amenity': 'fuel'},"(109.67721599999999, -7.399095000000032)",fuel
49,448090120,{'amenity': 'fuel'},"(109.97183, -7.421571000000031)",fuel
50,448090121,"{'name': 'POM Bensin Siyono', 'amenity': 'fuel'}","(109.95146609999999, -7.379492000000031)",fuel
51,448090122,{'amenity': 'fuel'},"(109.912522, -7.322641000000031)",fuel
52,448834547,"{'note': '30-MAY-09 9:30:08', 'amenity': 'fuel'}","(110.22527299999972, -7.602417000000023)",fuel
53,448834548,"{'note': '30-MAY-09 10:06:11', 'amenity': 'fuel'}","(110.26481699999972, -7.760898000000023)",fuel
54,448834565,"{'name': 'SPBU Ngadirojo', 'note': '31-MAY-09 11:20:34', 'amenity': 'fuel'}","(110.98265039999973, -7.815081300000023)",fuel
55,448834569,"{'note': '28-MAY-09 15:43:04', 'amenity': 'fuel'}","(110.12137399999973, -7.572409000000023)",fuel
56,448887712,{'amenity': 'fuel'},"(111.34787699999971, -7.872454000000022)",fuel
57,448887783,{'amenity': 'fuel'},"(111.27805499999971, -7.852866000000022)",fuel
58,448887804,{'amenity': 'fuel'},"(111.18701199999971, -7.825999000000022)",fuel
59,448887822,{'amenity': 'fuel'},"(111.40766399999971, -7.901133000000022)",fuel
60,448887838,"{'name': 'SPBU Sidoharjo', 'amenity': 'fuel'}","(111.04992229999971, -7.827048600000022)",fuel
61,448887882,{'amenity': 'fuel'},"(111.3946199999997, -7.867398000000022)",fuel
62,449839967,{'amenity': 'fuel'},"(112.83798329999992, -8.228133800000004)",fuel
63,449839968,{'amenity': 'fuel'},"(112.33557689999992, -8.230686800000004)",fuel
64,452888072,{'amenity': 'fuel'},"(113.69185130000005, -8.293274600000018)",fuel
65,452888089,{'amenity': 'fuel'},"(113.99494140000006, -8.298957100000019)",fuel
66,456045476,"{'name': 'SPBU', 'amenity': 'fuel', 'operator': 'Pertamina', 'addr:city': 'Pekanbaru', 'addr:street': 'Jl. H. Imam Munandar'}","(101.47128459999998, 0.5003503999999916)",fuel
67,457837210,"{'name': 'Pertamina', 'amenity': 'fuel', 'operator': 'Pertamina'}","(101.4283772999999, 0.6127165999999882)",fuel
68,457837211,"{'name': 'Pertamina', 'amenity': 'fuel', 'operator': 'Pertamina'}","(101.4376945999999, 0.6868750999999882)",fuel
69,457837500,"{'name': 'Pertamina', 'amenity': 'fuel', 'operator': 'Pertamina'}","(101.40295209999995, 0.5384360999999885)",fuel
70,457837513,"{'name': 'Pertamina', 'amenity': 'fuel', 'operator': 'Pertamina'}","(101.39851939999997, 0.5738339999999886)",fuel
71,462086851,"{'amenity': 'fuel', 'name': 'SPBU', 'operator': 'Pertamina'}","(101.42233139999989, 0.5348084999999959)",fuel
72,462165004,"{'amenity': 'fuel', 'name': 'SPBU', 'operator': 'Pertamina'}","(101.39572589999989, 0.512300899999996)",fuel
73,467530312,"{'amenity': 'fuel', 'name': 'Pertamina', 'operator': 'Pertamina'}","(101.52695569999992, 0.4649988999999931)",fuel
74,470790180,"{'amenity': 'fuel', 'name': 'SPBU', 'operator': 'Pertamina'}","(101.4896785999998, 0.5136399000000103)",fuel
75,470790469,"{'name': 'Pertamina', 'amenity': 'fuel', 'operator': 'Pertamina'}","(101.56844469999982, 0.4578049000000103)",fuel
76,470793864,"{'name': 'Pertamina', 'amenity': 'fuel', 'operator': 'Pertamina'}","(101.80449019999982, 0.6563014000000102)",fuel
77,488397934,"{'name': 'Pertamina', 'amenity': 'fuel'}","(120.32757319999969, -5.508989999999977)",fuel
78,488399441,"{'name': 'Pertamina', 'amenity': 'fuel'}","(120.21263559999969, -5.5442238999999764)",fuel
79,488401456,"{'name': 'Pertamina', 'amenity': 'fuel'}","(120.18214319999969, -5.564729899999977)",fuel
80,488402643,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.97355239999969, -5.556107999999977)",fuel
81,488403957,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.93066239999969, -5.543098699999977)",fuel
82,488405780,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.4394511999997, -5.435580699999977)",fuel
83,488407333,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.4457491999997, -5.409881399999977)",fuel
84,488408260,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.4305485999997, -5.272747399999977)",fuel
85,488523635,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.44064099999969, -5.181774699999973)",fuel
86,488523658,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.44013769999968, -5.227617299999974)",fuel
87,488523664,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.43626909999968, -5.299417899999974)",fuel
88,491076622,"{'amenity': 'fuel', 'name:en': 'Pertamina', 'PFM:garmin_type': '0x2f01'}","(118.7055108999996, -8.510652099999936)",fuel
89,491670493,"{'addr:city': 'DKI Jakarta', 'addr:full': 'Jalan Cakung Cilincing Timur', 'amenity': 'fuel', 'name': 'SPBU 34-13906', 'operator': 'PT Pertamina', 'source': 'HOT_InAWARESurvey_2017'}","(106.94308869999986, -6.170541800000019)",fuel
90,494074910,"{'amenity': 'fuel', 'PFM:garmin_type': '0x2f01'}","(126.4469699999998, -8.474480000000039)",fuel
91,494074919,"{'amenity': 'fuel', 'operator': 'Pertamina', 'PFM:garmin_type': '0x2f01'}","(126.4285799999998, -8.46260000000004)",fuel
92,503791943,"{'amenity': 'fuel', 'operator': 'Pertamina', 'PFM:garmin_type': '0x2f01'}","(125.58289469999941, -8.567594000000037)",fuel
93,503791954,"{'amenity': 'fuel', 'name': 'Comoro'}","(125.5490491999994, -8.553909700000036)",fuel
94,503810028,{'amenity': 'fuel'},"(125.38245759999938, -8.569477800000051)",fuel
95,503812953,"{'amenity': 'fuel', 'PFM:garmin_type': '0x2f01'}","(125.3825399999995, -8.569640000000062)",fuel
96,503828233,"{'amenity': 'fuel', 'PFM:garmin_type': '0x2f01'}","(124.8953399999993, -9.137920000000069)",fuel
97,503829784,"{'amenity': 'fuel', 'PFM:garmin_type': '0x2f01'}","(124.30029999999985, -9.870589999999995)",fuel
98,503829799,"{'amenity': 'fuel', 'PFM:garmin_type': '0x2f01'}","(124.48174999999985, -9.471939999999996)",fuel
99,503829812,"{'amenity': 'fuel', 'PFM:garmin_type': '0x2f01'}","(124.89501569999986, -9.097973699999995)",fuel
100,506725531,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.78157320000003, -5.6678033000000365)",fuel
101,506725533,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.75524430000003, -5.6742371000000364)",fuel
102,506725535,"{'name': 'Pertamina', 'amenity': 'fuel'}","(119.73080790000003, -5.668552100000037)",fuel
103,560738029,"{'name': 'Pertamina', 'amenity': 'fuel'}","(128.1695023000006, -3.6635336999999946)",fuel
104,560738032,"{'name': 'Pertamina', 'amenity': 'fuel'}","(128.2478894000006, -3.6232249999999944)",fuel
105,610371699,"{'addr:city': 'Denpasar', 'addr:street': 'Jalan Bypass Ngurah Rai', 'amenity': 'fuel', 'ele': '36.42', 'name': 'Pertamina', 'opening_hours': '24/7'}","(115.19428679999996, -8.721233000000007)",fuel
106,610371788,"{'ele': '33.77', 'name': 'Pertamina', 'amenity': 'fuel', 'opening_hours': '24/7', 'wpt_description': '09-JAN-10 5:11:44PM'}","(115.22315889999996, -8.713710900000008)",fuel
107,641643890,"{'ele': '175.08', 'name': 'Pertamina', 'is_in': 'North Bali,Bali,Indonesia', 'amenity': 'fuel'}","(115.13491600000002, -8.502539000000004)",fuel
108,660844163,"{'amenity': 'fuel', 'brand': 'Pertamina', 'brand:wikidata': 'Q1641044', 'brand:wikipedia': 'en:Pertamina', 'name': 'Pertamina', 'operator': 'Pertamina', 'payment:cash': 'yes'}","(112.7636246, -7.368654500000001)",fuel
109,660844547,"{'amenity': 'fuel', 'brand': 'Pertamina', 'brand:wikidata': 'Q1641044', 'brand:wikipedia': 'en:Pertamina', 'name': 'Pertamina', 'operator': 'Pertamina', 'payment:cash': 'yes'}","(112.76367640000001, -7.364953000000001)",fuel
110,693119420,"{'name': 'Pertamina', 'source': 'approximation', 'amenity': 'fuel'}","(140.67993419999917, -2.597617199999986)",fuel
111,700645194,"{'amenity': 'fuel', 'name': 'SPBU'}","(103.96491199999984, 1.0578849999999989)",fuel
112,702182327,"{'name': 'Fuel Station (Spbu Tembesi)', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.00059999999998, 1.0400500000000008)",fuel
113,702183002,"{'name': 'Fuel Temiang', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(103.96832999999998, 1.062240000000001)",fuel
114,702328175,"{'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(103.95378000000005, 1.0500700000000018)",fuel
115,702350219,"{'name': 'Fuel Sukajadi', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.02223000000015, 1.113949999999999)",fuel
116,702352162,"{'name': 'Fuel Station Duriangkang', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.03657890000017, 1.0971573999999997)",fuel
117,702670734,"{'name': 'Fuel Station (Spbu Sma Al Azhar)', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.02122000000013, 1.1332000000000013)",fuel
118,703814989,"{'name': 'Fuel Harbour Bay', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.00237990000012, 1.154020000000001)",fuel
119,703858078,"{'name': 'Fuel Station(Spbu Simpang Jam)', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.01997999999998, 1.1220599999999992)",fuel
120,705081941,"{'name': 'Fuel Station (Rumah Hitam) Sekupang', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(103.94952999999981, 1.110090000000008)",fuel
121,707537290,"{'name': 'Fuel Bensin Mekar Sari', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(103.97865890000011, 1.1113353000000286)",fuel
122,707606017,"{'amenity': 'fuel', 'garmin_type': '0x2f01', 'name': 'Fuel Bensin Tiban 3', 'source': 'Batam Mapping Project'}","(103.96595970000014, 1.10933890000003)",fuel
123,718932258,"{'amenity': 'fuel', 'garmin_type': '0x2f01', 'name': 'Fuel Uib', 'source': 'Batam Mapping Project'}","(104.00513700000006, 1.1212705999999963)",fuel
124,736621162,"{'name': 'Fuel Station(Spbu Bel.Bca Jdh)', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.00567990000046, 1.1532001000000256)",fuel
125,736630305,"{'name': 'Fuel Station (Spbu Hapan Bunda)', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.01717990000041, 1.1482001000000257)",fuel
126,736630440,"{'name': 'Fuel Seraya', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.01703000000039, 1.1479400000000255)",fuel
127,756945888,"{'amenity': 'fuel', 'is_in': 'West Bali,Bali,Indonesia', 'name': 'Pertamina', 'opening_hours': 'Mo-Su 05:00-22:00'}","(114.92216770000002, -8.19335579999999)",fuel
128,760475100,"{'name': 'Fuel Station(Spbu Kda Btm Kota)', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.07633999999975, 1.101569999999991)",fuel
129,760485238,"{'name': 'SPBU Kapital Raya', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.09036339999982, 1.1072504999999908)",fuel
130,760491346,"{'name': 'Fuel Station(Spbu Kabil)', 'source': 'Batam Mapping Project', 'amenity': 'fuel', 'garmin_type': '0x2f01'}","(104.11760000000005, 1.0839099999999995)",fuel
131,762015091,{'amenity': 'fuel'},"(106.76556799999956, -6.52882360000001)",fuel
132,798848814,"{'name': 'Pertamina', 'amenity': 'fuel'}","(135.5833187000001, -3.274445499999996)",fuel
133,798848817,"{'name': 'Pertamina', 'amenity': 'fuel'}","(135.5040007000001, -3.356762299999996)",fuel
134,799261457,"{'amenity': 'fuel', 'brand': 'Pertamina', 'designation': 'SPBU', 'fuel:biodiesel': 'yes', 'fuel:biogas': 'no', 'fuel:diesel': 'yes', 'fuel:octane_91': 'yes', 'fuel:octane_95': 'yes', 'name': 'SPBU Arengka', 'operator': 'Pertamina', 'source': 'survey'}","(101.41887700000005, 0.45364840000000434)",fuel
135,799261468,"{'amenity': 'fuel', 'operator': 'Pertamina'}","(101.41795090000005, 0.4479448000000043)",fuel
