,id,tags,lonlat,amenity_name,shop,healthcare
0,32520384,"{'name': 'RS ZR Tedja', 'amenity': 'hospital', 'created_by': 'JOSM'}","(107.62014429999999, -6.905742800000011)",hospital,,
1,32529128,"{'name': 'Apotek Rahayu', 'amenity': 'pharmacy'}","(107.59341549999996, -6.922590900000013)",pharmacy,,
2,32529134,"{'name': 'RS Cibadak', 'amenity': 'hospital'}","(107.59661309999996, -6.920910100000013)",hospital,,
3,298741226,"{'addr:city': 'Ponggok', 'addr:postcode': '64153', 'addr:street': 'Jendral Sudirman', 'amenity': 'clinic', 'ele': '185.0', 'name': 'Puskesmas Ponggok', 'wpt_description': 'Puskesmas Ponggok', 'wpt_symbol': 'Medical Facility'}","(112.10285280000012, -8.041425099999982)",clinic,,
4,319706077,"{'name': 'RSAU Dr Salamun', 'amenity': 'hospital', 'created_by': 'Potlatch 0.10f'}","(107.60481269999985, -6.864315100000004)",hospital,,
5,330062760,"{'name': 'Apotik Kimia Farma, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.16181020000013, 3.3282691000000075)",pharmacy,,
6,330062766,"{'name': 'Lab. Klinik Semangat, T. Tinggi', 'amenity': 'hospital', 'created_by': 'Potlatch 0.10f'}","(99.16230310000013, 3.3277655000000075)",hospital,,
7,330062842,"{'name': 'Apotik Keluarga, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.15879270000012, 3.3287594000000076)",pharmacy,,
8,330062855,"{'name': 'Apotik Bersama, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.16043200000011, 3.331312900000008)",pharmacy,,
9,330062883,"{'name': 'Lab. Klinik Gatot Subroto', 'amenity': 'hospital', 'emergency': 'no', 'created_by': 'Potlatch 0.10f'}","(99.1594364000001, 3.329847600000008)",hospital,,
10,330062886,"{'name': 'Apotik Kita, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.1593162000001, 3.3287080000000078)",pharmacy,,
11,330062893,"{'name': 'Apotik Sempurna, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.1591274000001, 3.328553800000008)",pharmacy,,
12,330062904,"{'name': 'Lab. Klinik Prodia, T. Tinggi', 'amenity': 'hospital', 'emergency': 'no', 'created_by': 'Potlatch 0.10f'}","(99.1610328000001, 3.333009400000008)",hospital,,
13,330063164,"{'name': 'Apotik Bulian, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.1586124000001, 3.3300704000000083)",pharmacy,,
14,330063168,"{'name': 'Apotik Surya Baru, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.15907590000009, 3.329496300000008)",pharmacy,,
15,330063169,"{'name': 'Apotik Saudara, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.15884420000009, 3.3299076000000083)",pharmacy,,
16,330063205,"{'name': 'RS Umum, T. Tinggi', 'amenity': 'hospital', 'emergency': 'yes', 'created_by': 'Potlatch 0.10f'}","(99.15567700000008, 3.330036100000009)",hospital,,
17,330063229,"{'name': 'Apotik Tangan Mas, T. Tinggi', 'amenity': 'pharmacy', 'created_by': 'Potlatch 0.10f'}","(99.15829110000008, 3.330042800000009)",pharmacy,,
18,429250405,"{'addr:city': 'Jembrana', 'addr:postcode': '82218', 'addr:street': 'Wijaya Kusuma', 'amenity': 'hospital', 'is_in': 'West Bali,Bali,Indonesia', 'name': 'Rumah Sakit Umum Negara', 'wikidata': 'Q87756715'}","(114.62145400000016, -8.354430599999985)",hospital,,
19,457837520,"{'name': 'rs bunda', 'amenity': 'hospital', 'operator': 'hospital'}","(101.57156299999997, 0.6849899999999887)",hospital,,
20,479732486,"{'addr:city': 'Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat', 'addr:postcode': '40141', 'addr:street': 'Jalan Bukit Jarian', 'amenity': 'hospital', 'name': 'RS Paru dr Rotinsulu'}","(107.60648639999968, -6.87778669999998)",hospital,,
21,491079349,"{'name': 'Kimia Farma', 'amenity': 'pharmacy', 'dispensing': 'yes', 'PFM:garmin_type': '0x2e05'}","(118.73551940000014, -8.453913400000008)",pharmacy,,
22,493785747,"{'name': 'Bethesda', 'amenity': 'hospital'}","(128.00801780000003, 1.7271356999999303)",hospital,,
23,577454865,"{'name': 'Puskesmas', 'amenity': 'hospital'}","(98.6900979999999, 3.532985799999998)",hospital,,
24,600488283,"{'name': 'Kasih Ibu General Hsopital (Uluwatu)', 'phone': '+62 361 703270', 'amenity': 'hospital', 'addr:city': 'Badung, Bali', 'emergency': 'yes', 'addr:street': 'Jalan Uluwatu', 'addr:postcode': '80361', 'addr:housenumber': 'Nomor 69 A'}","(115.1758365999996, -8.760219899999967)",hospital,,
25,660834651,{'amenity': 'toilets'},"(112.72761709999995, -7.368726400000001)",toilets,,
26,700645213,"{'name': 'Kimia Farma Aviari', 'amenity': 'pharmacy'}","(103.96900899999984, 1.0487869999999988)",pharmacy,,
27,700645244,"{'name': 'Apotik Kimia Farma', 'amenity': 'pharmacy'}","(103.95209119999984, 1.108567699999999)",pharmacy,,
28,701966336,"{'name': 'Rsb Graga Hermina', 'source': 'Batam Mapping Project', 'amenity': 'hospital', 'garmin_type': '0x6408'}","(103.97376999999942, 1.0452501000000238)",hospital,,
29,702009815,"{'amenity': 'hospital', 'garmin_type': '0x6408', 'healthcare': 'hospital', 'name': 'Rumah Sakit Aini', 'source': 'Batam Mapping Project'}","(103.97771829999938, 1.052076100000022)",hospital,,hospital
30,702021818,"{'addr:city': 'batam', 'addr:street': 'Jl.Soeprapto', 'amenity': 'hospital', 'garmin_type': '0x4b00', 'healthcare': 'hospital', 'name': 'Puskesmas Batu Aji', 'source': 'Batam Mapping Project'}","(103.97829999999935, 1.0545199000000225)",hospital,,hospital
31,702327648,"{'amenity': 'hospital', 'garmin_type': '0x3002', 'name': 'SATPOL PP', 'source': 'Batam Mapping Project'}","(103.94264000000011, 1.0476300000000016)",hospital,,
32,702672836,"{'amenity': 'hospital', 'garmin_type': '0x4b00', 'name': 'Clinic Rsob', 'source': 'Batam Mapping Project'}","(104.01643780000009, 1.1321153000000002)",hospital,,
33,702672861,"{'name': 'Casa Medika Clinic', 'source': 'Batam Mapping Project', 'amenity': 'doctors', 'garmin_type': '0x4b00'}","(104.01748000000009, 1.1324900000000002)",doctors,,
34,702672880,"{'amenity': 'hospital', 'garmin_type': '0x6408', 'name': 'RS Ibu Dan Anak Permata Hati', 'source': 'Batam Mapping Project'}","(104.01576540000009, 1.1328868)",hospital,,
35,702672890,"{'name': 'Prodia Laboratorium', 'source': 'Batam Mapping Project', 'amenity': 'doctors', 'garmin_type': '0x4b00'}","(104.01708000000009, 1.13372)",doctors,,
36,703839237,"{'name': 'Kimia Farma', 'source': 'Batam Mapping Project', 'amenity': 'pharmacy', 'garmin_type': '0x2e05'}","(104.04921990000001, 1.1319400999999996)",pharmacy,,
37,707562588,"{'name': 'Clinic Asih Tiban Indah', 'source': 'Batam Mapping Project', 'amenity': 'doctors', 'garmin_type': '0x4b00'}","(103.97723000000016, 1.1176700000000275)",doctors,,
38,707563992,"{'name': 'Kimia Farma', 'source': 'Batam Mapping Project', 'amenity': 'pharmacy', 'garmin_type': '0x2e05'}","(103.98375000000016, 1.1129700000000282)",pharmacy,,
39,707690414,"{'name': 'First Aid (Pustu Patam)', 'source': 'Batam Mapping Project', 'amenity': 'doctors', 'garmin_type': '0x4b00'}","(103.96367000000008, 1.1275800000000293)",doctors,,
40,719058594,"{'amenity': 'toilets', 'garmin_type': '0x2f10', 'name': 'M3 Building', 'source': 'Batam Mapping Project'}","(104.01620590000023, 1.1286833999999863)",toilets,,
41,719066142,"{'amenity': 'hospital', 'garmin_type': '0x4b00', 'name': 'Rs Bersalin Mitra Bunda', 'source': 'Batam Mapping Project'}","(104.00467260000016, 1.1321382999999925)",hospital,,
42,736599362,"{'name': 'Batam Medical Centre', 'source': 'Batam Mapping Project', 'amenity': 'hospital', 'garmin_type': '0x3002'}","(104.01510000000042, 1.1389300000000147)",hospital,,
43,736600642,"{'name': 'Dr.Soritua Sarumpait (Internist)', 'source': 'Batam Mapping Project', 'amenity': 'doctors', 'garmin_type': '0x3002'}","(104.01626000000041, 1.1371300000000146)",doctors,,
